State,depressionRate,estimateTotal
AL,21.3,1903495
AK,15.6,352209
AZ,18.7,2642303
AR,21.5,1203581
CA,13.3,16324873
CO,17,2494655
CT,18.3,1669481
DE,18.3,418179
FL,16.2,8119626
GA,18.3,4198180
HI,10.7,655753
ID,19.5,646921
IL,16.7,5760499
IN,20.7,2872136
IA,18.7,1496763
KS,18.6,1356192
KY,23.9,1843320
LA,18.7,1944676
ME,23.7,588798
MD,15.9,2566158
MA,21.7,3301079
MI,20.5,4163414
MN,18.2,2676510
MS,19.9,1114900
MO,21.7,2680420
MT,20.4,451268
NE,17.7,945851
NV,15.6,1242626
NH,21,609754
NJ,13.4,3788421
NM,21.1,823518
NY,15.9,9159602
NC,19,4222716
ND,17.3,412070
OH,20.9,5157449
OK,21.8,1659430
OR,24,1714879
PA,19.7,5639759
RI,20.6,463474
SC,19.9,2010467
SD,16.6,411464
TN,21.4,2803100
TX,14.6,11793571
UT,20.7,1271953
VT,21.8,293707
VA,17.4,3787972
WA,21.6,3081499
WV,23.6,699801
WI,17,2706822
WY,19,288893
PR,18.5,990949